0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:36 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:36 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:36 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:36 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:36 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:36 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:41 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:41 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:41 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:41 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:42 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:42 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:42 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:42 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:42 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:42 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:43 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:43 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:43 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:21:43 +0530] "GET /SpringMVC/contact?Header=Spring+Frame-work+Example....%21%21%21&Desc=Home+for+Programmer HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:24:02 +0530] "POST /SpringMVC/processform2 HTTP/1.1" 200 360
